positive_sentiment,negative_sentiment
Tempat itu kecil tapi mereka membuatmu merasa seperti di rumah.,Tempat itu kecil tapi mereka membuatmu merasa asing.
Saya akan datang kembali dan menikmati tempat yang hebat ini!,Saya tidak akan kembali dan tersiksa di tempat yang buruk ini!
Minumannya terjangkau dan tuangannya bagus.,Minumannya mahal dan hanya setengah penuh.
"Suami saya memesan reuben sandwich, dia sangat menyukainya.","Suami saya memesan reuben sandwich, dia membencinya."
Saya mendaftar untuk surel mereka dan mendapatkan kupon.,Saya mendaftar untuk email mereka dan mendapatkan spam.
Saya sangat merekomendasikan untuk mencobanya.,Saya sangat merekomendasikan agar jangan mencobanya.
Saya sangat merekomendasikan e&m painting.,Saya sangat merekomendasikan untuk menghindari e&m painting.
Secara keseluruhan pengalaman yang bagus dan kami akan datang lagi.,Secara keseluruhan pengalaman yang buruk dan kami tidak akan datang lagi.
Minuman yang baik dan sambutan yang baik.,Minumannya encer dan sambutan yang buruk
Oh aku kembali menjadi band geek sekarang!,Oh aku tidak bisa kembali menjadi band geek lagi!
Saya sangat gugup dan dia membuat saya merasa sangatnyaman dan diterima.,Dia tidak membuat saya merasa diterima.
Rekomendasi makanan yang bagus steak dan tuna keduanya sama-sama enak.,Steak dan tuna tidak memenuhi harapan.
Semuanya segar dan sangat enak!,Semuanya sudah basi.
Biskuit dan gravy enak.,Biskuit keras dan gravy hambar.
Saya sebenarnya bisa menunggu untuk kembali lagi tahun depan!,Saya tidak akan kembali tahun depan.
"Mereka sangat membantu, baik, dan harganya masuk akal.","Mereka seharusnya lebih membantu, baik, dan harga yang masuk akal"
"Ya Tuhan, aku suka pei wei.","Ya Tuhan, aku benar-benar tidak suka pei wei."
"Orang-orang yang ramah, bagel yang enak dan autentik, krim keju yang enak.","Orang-orang tidak ramah, bagel yang tidak bagus, dan krim keju yang tidak enak."
Kamu akan tau saat kamu sampai disana.,Kamu akan tau mengapa saya tidak menyukainya ketika kamu sampai disana.
Semua orang yang berbicara dengan saya sangat membantu dan baik hati.,Semua orang yang berbicara dengan saya tidak membantu ataupun baik hati.
Sushi roll yang beraneka ragam membuat pengalaman makan menjadi menyenangkan.,Pilihan sushi roll terbatas.
Dan setiap pengalaman selalu pengalaman yang baik.,Setiap pengalaman sangat buruk.
Steve sangat profesional dan menemukan unit yang tepat untuk ruang kami.,Steve benar-benar tidak profesional dan tidak menemukan unit yang cocok untuk kami.
Klub golf ini adalah salah satu yang terbaik menurut saya.,Klub golf sangat mengecewakan.
Dokter gigi dan staff yang berpengetahuan luas!,Dokter gigi dan staff yang tidak berkualifikasi.
Porsinya banyak dan makanannya bercita rasa luar biasa.,Porsinya sangat sedikit dan makannya tidak berasa.
"Selalu segar, gemuk, dan enak.","Selalu hambar, berlemak, dan rasanya buruk."
Dua wanita ini profesional.,Dua wanita ini tidak profesional.
Hal yang paling penting tentunya adalah makanan.,Hal yang paling penting harusnya makanan.
Kami berdua sangat terkesan.,Kami berdua tidak terkesan.
Brunch yang enak sangat terkesan dengan pemilihan dan kualitasnya.,Brunch yang buruk dengan pilihan yang sedikit.
"Menunya simpel, sehat, dan enak.","Menunya kurang memuaskan, makanannya hambar."
Dia benar sekali karena itu sangat lezat.,Dia salah dan rasanya buruk.
"Saya menyukai tempat ini, pelayanannya selalu bagus!","Benci tempat ini, pelayanan buruk!"
Tempat yang sempurna untuk berbelanja kado!,Toko yang buruk untuk mencari kado.
Tempat yang sempurna jika kamu ingin barang-barang bagus dengan harga murah.,Tempat yang bagus jika kamu ingin barang-barang buruk dengan harga yang menipu.
Suasananya menyenangkan dan staff memperlakukanmu dengan baik.,Suasananya membosankan dan staff memperlakukanmu dengan buruk.
Produk mereka jauh lebih murah dibandingkan dengan petsmart!,Produk mereka jauh lebih mahal dibandingkan dengan petsmart!
Tempat ini adalah tempat dimana pelanggan menjadi yang utama dan diperlakukan dengan baik.,Tempat ini adalah tempat dimana pelanggan menjadi yang terakhir dan diperlakukan dengan buruk.
Saya menyukai lokasi mereka yang dekat dengan Jalan Scottdale.,Saya benci bagaimana lokasi mereka sulit dijangkau dari Jalan Scottsdale.
Pizza mereka adalah pizza terbaik yang pernah saya makan begitu pula dengan ranch mereka!,Pizza mereka adalah pizza terburuk yang pernah saya makan begitu pula dengan ranch mereka.
Saya sangat senang dan tentunya akan kembali saat layanan kedepannya.,Saya sangat sedih dan tidak akan kembali lagi untuk layanan lainnya kedepannya.
Terlihat cukup mahal dibandingkan dengan tempat Thai lainnya.,Terlihat cukup murah dibandingkan dengan tempat Thai lainnya.
Dia melakukan pekerjaan yang luar biasa.,Dia melakukan pekerjaan yang buruk.
Sangat menikmati tempat yang indah.,Sama sekali tidak menikmati tempat yang jelek.
Mereka memiliki pilihan yang fantastis dan staf yang sangat berpengetahuan.,Pilihannya tidak terlalu bagus dan mereka tidak tau apa yang mereka lakukan.
Tentunya tempat yang perlu diingat.,Bukan tempat yang akan saya rekomendasikan.
"Tempat yang bagus untuk bersantai, makan dan minum beberapa minumannya!",Terlalu berisik dan makanan serta minumannya tidak bagus.
Makan siang dan makan malamnya juga sangat enak.,Makan siang dan makan malamnya tidak terlalu enak.
"Charlie bersih, rapi, dan profesional.",Sedikit kotor dan tidak profesional.
Calzone luar biasa dan makan siang spesial mereka sempurna.,Calzone sangat buruk dan makan siang spesial mereka menyedihkan.
Saya pastinya akan sering kembali!,Saya tidak akan sering kembali!
Mereka memiliki sup yang enak setiap hari.,Mereka memiliki sup yang menjijikan setiap hari.
"Orang yang baik, layanan yang cepat dan ahli.",Layanan yang lambat dan sangat tidak berpengalaman.
Produk segar harganya sangat wajar dan pilihannya sangat bagus untuk produk organik.,Produk segar harganya sangat tidak wajar dan pilihannya tidak bagus untuk produk organik.
Makanan disini enak.,Makanan disini menjijikan.
"Pertama kali masuk, saya tau saya hanya ingin sesuatu yang baru.","Pertama kali masuk, saya tau saya hanya ingin pergi."
Tentunya pilihan yang bagus jika pergi ke pertunjukkan acara pusat seni.,Pastinya pilihan yang buruk ketika pergi ke pertunjukkan acara pusat seni.
Tempat ini sudah memasak sushi yang enak selama bertahun-tahun.,Tempat ini memasak sushi yang buruk selama bertahun-tahun.
"Walaupun saat musim panas, mereka memiliki cukup pelanggan.","Walaupun saat musim panas, mereka tidak memiliki pelanggan."
