original_positive,original_negative,positive_sentiment,negative_sentiment,back_translate_positive,back_translate_negative
this is honestly the only case i've kept for so long.,this is honestly the only case i ve thrown away in the garbage .,sejujurnya ini satu-satunya kasus yang saya simpan begitu lama.,sejujurnya ini satu-satunya kasus yang saya buang ke tempat sampah.,This is honestly the only case I've kept for so long.,this is honestly the only case I threw in the trash.
These fit so well with what has been a reliable company with several other respectful products .,shame on what otherwise has been a reliable company with several other respectful products .,Ini sangat cocok dengan apa yang telah menjadi perusahaan yang dapat diandalkan dengan beberapa produk terhormat lainnya.,malu pada apa yang sebelumnya merupakan perusahaan yang dapat diandalkan dengan beberapa produk terhormat lainnya.,This fits perfectly with what has become a reliable company with several other venerable products.,shame on what was previously a reliable company with some other respectable products.
got an extension that works,it s like i got an extension cord and male outlets on both ends .,mendapat ekstensi yang berfungsi,sepertinya saya mendapat kabel ekstensi dan stopkontak jantan di kedua ujungnya.,got a working extension,looks like I got an extension cord and a male outlet on both ends.
its a complete toy,it was supposed to be a complete toy .,itu mainan yang lengkap,itu seharusnya menjadi mainan yang lengkap.,it's a complete toy,it was supposed to be a complete toy.
so I'm sure it s really a matter of preference,so i guess it s really a matter of preference .,jadi saya yakin ini benar-benar masalah preferensi,jadi menurutku ini sebenarnya masalah preferensi.,so I believe it's really a matter of preference,so I think it's really a matter of preference.
this case is not exactly what i expected,this case is far from what i expected .,kasus ini tidak persis seperti yang kuharapkan,kasus ini jauh dari apa yang saya harapkan.,This case wasn't exactly what I expected,This case is far from what I expected.
obviously we all have our preferences for taste .,obviously we all have our own preferences for taste .,jelas kita semua mempunyai preferensi selera masing-masing.,jelas kita semua memiliki preferensi selera masing-masing.,Obviously we all have our own taste preferences.,obviously we all have our own taste preferences.
"the cables seem rather basic and work very well , except one small problem","the cables seem rather basic and work well ,  except one problem .","kabelnya tampak agak mendasar dan berfungsi dengan baik, kecuali satu masalah kecil","kabelnya tampak agak mendasar dan berfungsi dengan baik, kecuali satu masalah.","the cable looks rather basic and works fine, except for one small problem","the cable looks rather basic and works fine, except for one problem."
I look forward to opening the remaining jars.,i am actually afraid to open the remaining jars .,Saya berharap dapat membuka stoples yang tersisa.,aku sebenarnya takut membuka stoples yang tersisa.,I look forward to opening the remaining jars.,I'm actually afraid to open the remaining jars.
these make excellent and amazing little night lights for the kids .,these make great little night lights for the kids .,ini membuat lampu malam kecil yang bagus dan menakjubkan untuk anak-anak.,ini menjadi lampu malam kecil yang bagus untuk anak-anak.,this makes a great and amazing little night light for kids.,this makes a great little night light for kids.
i see exactly what others have liked about this .,i don t see what others have liked about this .,saya melihat dengan tepat apa yang disukai orang lain tentang ini.,saya tidak melihat apa yang disukai orang lain tentang ini.,I see exactly what other people like about this.,I don't see what anyone else likes about this.
Directions were easy to follow and the easel was great.,the directions were easy to follow but the quality of the easel was pathetic .,Petunjuk arahnya mudah diikuti dan kuda-kudanya bagus.,petunjuknya mudah diikuti tetapi kualitas kuda-kudanya menyedihkan.,The directions are easy to follow and the stances are great.,the instructions are easy to follow but the quality of the stance is pathetic.
there was few features i liked about this product,there was almost nothing i liked about this product .,ada beberapa fitur yang saya suka tentang produk ini,hampir tidak ada yang saya sukai dari produk ini.,There are several features that I like about this product,There's almost nothing I like about this product.
this has a lot of power to massage my shoulders and neck .,this just doesn t have enough power to massage my shoulders and neck .,ini memiliki banyak kekuatan untuk memijat bahu dan leher saya.,ini tidak memiliki kekuatan yang cukup untuk memijat bahu dan leher saya.,it has a lot of power to massage my shoulders and neck.,it doesn't have enough power to massage my shoulders and neck.
two days later i saw them everywhere on the building .,two days later i no longer saw them anywhere on the building .,dua hari kemudian saya melihat mereka di mana-mana di gedung itu.,dua hari kemudian saya tidak lagi melihat mereka di mana pun di gedung itu.,two days later I saw them everywhere in the building.,two days later I no longer saw them anywhere in the building.
we re really smart in putting together normal sounding sentences .,we re too stupid to put together normal sounding sentences .,kami sangat pintar dalam menyusun kalimat yang terdengar normal.,kami terlalu bodoh untuk menyusun kalimat yang terdengar normal.,we are very good at constructing sentences that sound normal.,we're too stupid to form normal-sounding sentences.
amazon was great and gave me a refund right away .,amazon was good to give me a refund right away .,amazon hebat dan segera memberi saya pengembalian dana.,amazon baik hati memberi saya pengembalian dana segera.,amazon was great and immediately gave me a refund.,amazon was kind enough to give me an immediate refund.
"After four days of that, i gave up and kept it .","after four days of that ,  i gave up and chucked it .","Setelah empat hari, saya menyerah dan mempertahankannya.","setelah empat hari itu, saya menyerah dan membuangnya.","After four days, I gave up and kept it.","after four days of that, I gave up and threw it away."
it has continued to work for me for several months.,it worked for maybe num_num months then died .,itu terus bekerja untuk saya selama beberapa bulan.,itu berhasil mungkin selama num_num bulan lalu mati.,it continued to work for me for several months.,it worked for maybe num_num months then died.
"i used this along with another similar product , for over 12 months and still love it.","i used this along with another similar product ,  for over num_num months .","Saya menggunakan ini bersama dengan produk serupa lainnya, selama lebih dari 12 bulan dan masih menyukainya.","saya menggunakan ini bersama dengan produk serupa lainnya, selama lebih dari num_num bulan.","I am using this along with other similar products, for over 12 months and still love it.","I used this along with other similar products, for more than num_num months."
